rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,2988,3744,5760,60,39,0.6600477430555556,0.8597854375839233,1.0
2,2989,3840,5760,60,40,0.6414930555555556,0.845916748046875,0.9613637924194336
3,2307,4704,4800,50,49,0.5827907986111112,0.7005103826522827,0.5562819242477417
4,3590,4608,6720,70,48,0.5732421875,0.652428388595581,0.42233216762542725
5,1058,7008,3072,32,73,0.5681423611111112,0.631706714630127,0.36460447311401367
6,2672,5664,5280,55,59,0.5862630208333334,0.6254322528839111,0.34712469577789307
7,2811,5760,5472,57,60,0.5746527777777778,0.6176915168762207,0.3255600929260254
8,2029,5856,4416,46,61,0.6956380208333334,0.6113419532775879,0.3078710734844208
9,3416,3840,6432,67,40,0.6882595486111112,0.5817686319351196,0.22548392415046692
10,3240,3840,6144,64,40,0.6656901041666666,0.5625791549682617,0.17202472686767578
11,1025,3840,3072,32,40,0.7412109375,0.5602686405181885,0.16558794677257538
12,2918,3264,5664,59,34,0.6271701388888888,0.5476008653640747,0.13029728829860687
13,2031,6048,4416,46,63,0.6713324652777778,0.5425026416778564,0.11609435081481934
14,2160,4512,4608,48,47,0.5912543402777778,0.5273212194442749,0.07380102574825287
15,3634,3936,6816,71,41,0.6226128472222222,0.5048849582672119,0.011296729557216167
16,2804,5088,5472,57,53,0.6447482638888888,0.5020502805709839,0.0033997124992311
17,2159,4416,4608,48,46,0.5774739583333334,0.5008299350738525,0.0
