rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,1959,6912,5088,53,72,0.4396701388888889,1.6640955209732056,1.0
2,1719,6336,4704,49,66,0.8449435763888888,1.1118137836456299,0.5259398818016052
3,2578,6816,6240,65,71,0.5010850694444444,1.110758662223816,0.5250342488288879
4,31,3552,384,4,37,0.8888888888888888,0.9791192412376404,0.4120393693447113
5,279,2880,1440,15,30,0.517578125,0.9282180666923523,0.36834752559661865
6,1840,6816,4896,51,71,0.5134548611111112,0.9262645840644836,0.36667072772979736
7,123,3072,864,9,32,0.5187717013888888,0.9222941994667053,0.36326268315315247
8,2687,1536,6528,68,16,0.2214626736111111,0.9166643023490906,0.3584301769733429
9,911,5280,3168,33,55,0.4437934027777778,0.909456193447113,0.35224297642707825
10,1654,5568,4608,48,58,0.9916449652777778,0.8930627703666687,0.3381713926792145
11,145,2976,960,10,31,0.4079861111111111,0.8719564080238342,0.32005441188812256
12,250,2880,1344,14,30,0.4308810763888889,0.8691064715385437,0.317608118057251
13,247,5376,1248,13,56,0.2681206597222222,0.8685773015022278,0.3171539008617401
14,1784,1440,4896,51,15,0.8480902777777778,0.8497170805931091,0.30096492171287537
15,338,2880,1632,17,30,0.6097005208333334,0.8486128449440002,0.3000170886516571
16,516,4320,2112,22,45,0.7249348958333334,0.8361133933067322,0.2892879843711853
17,46,3456,480,5,36,0.9767795138888888,0.8338255286216736,0.2873241603374481
18,428,6624,1824,19,69,0.3100043402777778,0.8298272490501404,0.2838921546936035
19,13,4416,192,2,46,0.1943359375,0.8220211863517761,0.277191698551178
20,963,2112,3360,35,22,0.9396701388888888,0.8178531527519226,0.2736140191555023
21,859,3840,3072,32,40,0.7134331597222222,0.8149550557136536,0.271126389503479
22,1499,1248,4416,46,13,0.15852864583333334,0.7964486479759216,0.2552410960197449
23,151,3552,960,10,37,0.9775390625,0.7808931469917297,0.24188877642154694
24,2333,4320,5760,60,45,0.9098307291666666,0.7798281311988831,0.24097460508346558
25,836,5184,2976,31,54,0.767578125,0.7785283327102661,0.23985891044139862
26,1619,2016,4608,48,21,0.7663845486111112,0.7740393280982971,0.23600569367408752
27,1955,6528,5088,53,68,0.8240017361111112,0.773009717464447,0.23512190580368042
28,2582,576,6336,66,6,0.1947699652777778,0.7609915137290955,0.22480589151382446
29,694,5280,2592,27,55,0.7977430555555556,0.7566444873809814,0.22107455134391785
30,953,5280,3264,34,55,0.8605685763888888,0.7549030184745789,0.21957972645759583
31,1965,1728,5184,54,18,0.8435329861111112,0.7511626482009888,0.2163691222667694
32,193,5184,1056,11,54,0.6580946180555556,0.7328181862831116,0.20062285661697388
33,1255,3456,3936,41,36,0.8519965277777778,0.7321360111236572,0.20003730058670044
34,78,4800,576,6,50,0.8390842013888888,0.7310349941253662,0.19909222424030304
35,2686,1440,6528,68,15,0.2606336805555556,0.7291975021362305,0.19751498103141785
36,367,2784,1728,18,29,0.4954427083333333,0.7281820178031921,0.19664332270622253
37,2724,6816,6528,68,71,0.5638020833333334,0.724496066570282,0.19347943365573883
38,186,4512,1056,11,47,0.9797092013888888,0.7165862917900085,0.18668994307518005
39,2882,3072,6912,72,32,0.3438585069444444,0.7141871452331543,0.1846306025981903
40,1040,5376,3456,36,56,0.9353298611111112,0.7136266231536865,0.18414945900440216
41,1835,6336,4896,51,66,0.9869791666666666,0.7125325798988342,0.1832103729248047
42,1157,3456,3744,39,36,0.6501736111111112,0.7109363675117493,0.18184024095535278
43,2649,4128,6432,67,43,0.8893229166666666,0.7106900811195374,0.18162883818149567
44,1284,6240,3936,41,65,0.2969835069444444,0.7050842642784119,0.17681698501110077
45,304,5280,1440,15,55,0.9245876736111112,0.7007911801338196,0.17313195765018463
46,60,4800,480,5,50,0.4793836805555556,0.6985188722610474,0.17118148505687714
47,2476,5184,6048,63,54,0.8976779513888888,0.6946588754653931,0.16786818206310272
48,1087,5568,3552,37,58,0.5853949652777778,0.6915751695632935,0.16522124409675598
49,2363,864,5856,61,9,0.6014539930555556,0.6898433566093445,0.16373470425605774
50,65,3552,576,6,37,0.9759114583333334,0.6893344521522522,0.1632978767156601
51,1182,5856,3744,39,61,0.7273220486111112,0.6888489127159119,0.16288110613822937
52,2172,4608,5472,57,48,0.9201388888888888,0.6835071444511414,0.1582959145307541
53,919,2016,3264,34,21,0.8703342013888888,0.6811574101448059,0.15627898275852203
54,80,3168,672,7,33,0.3736979166666667,0.6791510581970215,0.15455679595470428
55,1000,5664,3360,35,59,0.3501519097222222,0.6783393025398254,0.15386001765727997
56,427,6528,1824,19,68,0.3773871527777778,0.6757692098617554,0.1516539305448532
57,1059,2880,3552,37,30,0.7867838541666666,0.6732916831970215,0.14952731132507324
58,564,2400,2304,24,25,0.3495008680555556,0.6704509258270264,0.1470889002084732
59,2225,4416,5568,58,46,0.6046006944444444,0.664172887802124,0.14170004427433014
60,2273,3648,5664,59,38,0.6366102430555556,0.6639251112937927,0.14148736000061035
61,1340,1440,4128,43,15,0.9797092013888888,0.6637822985649109,0.14136476814746857
62,1135,5760,3648,38,60,0.5473090277777778,0.6628165245056152,0.14053578674793243
63,2845,4224,6816,71,44,0.486328125,0.6574893593788147,0.13596312701702118
64,2546,3360,6240,65,35,0.6770833333333334,0.6562966108322144,0.1349393129348755
65,2679,288,6528,68,3,0.18836805555555555,0.6557865738868713,0.13450151681900024
66,1627,2976,4608,48,31,0.5343967013888888,0.655474841594696,0.13423393666744232
67,1452,2016,4320,45,21,0.9339192708333334,0.6537767648696899,0.13277636468410492
68,1175,5184,3744,39,54,0.9184027777777778,0.6532511711120605,0.1323252022266388
69,2713,5760,6528,68,60,0.9907769097222222,0.6514466404914856,0.13077625632286072
70,1665,6624,4608,48,69,0.7484809027777778,0.6492445468902588,0.12888605892658234
71,1515,2784,4416,46,29,0.7421875,0.6465271711349487,0.12655355036258698
72,1145,2304,3744,39,24,0.9758029513888888,0.6433619856834412,0.12383666634559631
73,1899,6816,4992,52,71,0.8500434027777778,0.6430238485336304,0.12354642152786255
74,525,5184,2112,22,54,0.7387152777777778,0.6415539979934692,0.12228474766016006
75,884,2688,3168,33,28,0.9370659722222222,0.6412076950073242,0.1219874918460846
76,1138,1632,3744,39,17,0.9113498263888888,0.6406963467597961,0.12154857069253922
77,2192,6528,5472,57,68,0.9896918402777778,0.6399050354957581,0.12086933106184006
78,1815,4416,4896,51,46,0.8203125,0.6376523375511169,0.11893569678068161
79,38,4224,384,4,44,0.9439019097222222,0.6332722902297974,0.1151760071516037
80,1244,2400,3936,41,25,0.7924262152777778,0.6321518421173096,0.11421425640583038
81,2223,4224,5568,58,44,0.9337022569444444,0.6311249136924744,0.11333277076482773
82,1618,1920,4608,48,20,0.9021267361111112,0.6282996535301208,0.1109076663851738
83,2107,3552,5376,56,37,0.8866102430555556,0.6265621781349182,0.10941627621650696
84,336,5472,1536,16,57,0.3776041666666667,0.6253278255462646,0.10835675150156021
85,275,5280,1344,14,55,0.8811848958333334,0.6243194341659546,0.10749118030071259
86,63,3360,576,6,35,0.8742404513888888,0.6227076053619385,0.10610763728618622
87,144,5088,864,9,53,0.6137152777777778,0.6193887591362,0.10325885564088821
88,2271,3456,5664,59,36,0.7162543402777778,0.6181021928787231,0.10215450823307037
89,2752,4800,6624,69,50,0.4385850694444444,0.614933431148529,0.09943454712629318
90,1527,3936,4416,46,41,0.7730034722222222,0.614648699760437,0.09919014573097229
91,2379,3936,5856,61,41,0.4714626736111111,0.6119368672370911,0.09686239808797836
92,1092,1632,3648,38,17,0.7862413194444444,0.6102317571640015,0.09539879113435745
93,1246,2592,3936,41,27,0.5048828125,0.6082598567008972,0.0937061756849289
94,2352,6144,5760,60,64,0.9976128472222222,0.606855034828186,0.09250032901763916
95,2880,1440,6912,72,15,0.2058376736111111,0.6051126718521118,0.09100474417209625
96,1197,2688,3840,40,28,0.5672743055555556,0.6044466495513916,0.09043305367231369
97,2315,1920,5760,60,20,0.9691840277777778,0.6026855707168579,0.08892139792442322
98,1339,1344,4128,43,14,0.7739800347222222,0.6016343832015991,0.08801909536123276
99,1508,2112,4416,46,22,0.6942274305555556,0.6015301942825317,0.08792966604232788
100,425,5472,1824,19,57,0.7342664930555556,0.5999355912208557,0.08656091243028641
101,1045,1536,3552,37,16,0.17371961805555555,0.5997422933578491,0.08639498800039291
102,2807,4896,6720,70,51,0.8757595486111112,0.5986060500144958,0.0854196771979332
103,44,4800,384,4,50,0.1802300347222222,0.598511815071106,0.0853387862443924
104,2452,6720,5952,62,70,0.9743923611111112,0.597863495349884,0.08478229492902756
105,1526,3840,4416,46,40,0.7612847222222222,0.5949702262878418,0.08229880779981613
106,2723,6720,6528,68,70,0.9415147569444444,0.5949654579162598,0.08229471743106842
107,1007,2208,3456,36,23,0.9632161458333334,0.5934994220733643,0.08103632181882858
108,1057,2688,3552,37,28,0.7351345486111112,0.5909007787704468,0.07880572974681854
109,1006,2112,3456,36,22,0.4258897569444444,0.5908485651016235,0.07876091450452805
110,2794,2208,6720,70,23,0.2715928819444444,0.5898703932762146,0.07792128622531891
111,1064,3360,3552,37,35,0.8539496527777778,0.5892395973205566,0.07737983018159866
112,1724,1248,4800,50,13,0.4510633680555556,0.5881954431533813,0.07648356258869171
113,308,2784,1536,16,29,0.3646918402777778,0.5870931148529053,0.07553736120462418
114,1785,1536,4896,51,16,0.4021267361111111,0.5851936340332031,0.07390691339969635
115,1744,3168,4800,50,33,0.8271484375,0.5848345756530762,0.0735987052321434
116,1520,3264,4416,46,34,0.6622178819444444,0.582976758480072,0.07200402021408081
117,1513,2592,4416,46,27,0.6331380208333334,0.5826156735420227,0.07169407606124878
118,2412,7104,5856,61,74,0.3446180555555556,0.5823759436607361,0.07148829847574234
119,2142,6912,5376,56,72,0.9156901041666666,0.5808422565460205,0.07017183303833008
120,169,2880,1056,11,30,0.20713975694444445,0.5795961022377014,0.06910217553377151
121,2689,2304,6528,68,24,0.4389105902777778,0.5792165994644165,0.06877642869949341
122,2508,4416,6144,64,46,0.6009114583333334,0.5788552761077881,0.06846627593040466
123,550,4320,2208,23,45,0.8967013888888888,0.5780855417251587,0.06780556589365005
124,1044,5760,3456,36,60,0.2606336805555556,0.577616810798645,0.06740321964025497
125,2092,2112,5376,56,22,0.5675998263888888,0.5749455094337463,0.06511026620864868
126,2600,4224,6336,66,44,0.9367404513888888,0.5746212005615234,0.06483189016580582
127,309,2880,1536,16,30,0.5504557291666666,0.5742164850234985,0.06448449939489365
128,1598,5472,4512,47,57,0.9958767361111112,0.5734472870826721,0.06382424384355545
129,949,4896,3264,34,51,0.8334418402777778,0.5728082060813904,0.06327567994594574
130,1085,5376,3552,37,56,0.9069010416666666,0.5682783126831055,0.059387367218732834
