rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,2363,864,5856,61,9,0.6014539930555556,10.587299346923828,1.0
2,590,4896,2304,24,51,0.9695095486111112,9.789149284362793,0.9208740592002869
3,1037,5088,3456,36,53,0.9656032986111112,9.457351684570312,0.8879807591438293
4,1358,3168,4128,43,33,0.7648654513888888,9.379210472106934,0.8802341222763062
5,1114,3744,3648,38,39,0.9649522569444444,9.045812606811523,0.8471821546554565
6,764,5280,2784,29,55,0.4181857638888889,9.006475448608398,0.8432824015617371
7,2477,5280,6048,63,55,0.888671875,8.910135269165039,0.8337315917015076
8,327,4608,1536,16,48,0.9684244791666666,8.744958877563477,0.817356526851654
9,410,4032,1824,19,42,0.9903428819444444,8.242721557617188,0.767566442489624
10,1161,3840,3744,39,40,0.9331597222222222,8.197785377502441,0.7631115913391113
11,1193,2304,3840,40,24,0.9190538194444444,8.191402435302734,0.7624788284301758
12,2318,2208,5760,60,23,0.5119357638888888,8.126742362976074,0.7560686469078064
13,2523,5856,6144,64,61,0.9964192708333334,8.028670310974121,0.746346116065979
14,737,2688,2784,29,28,0.9792751736111112,7.967702865600586,0.7403020262718201
15,1128,5088,3648,38,53,0.9755859375,7.90684700012207,0.7342689633369446
16,140,4704,864,9,49,0.8972439236111112,7.779314041137695,0.7216257452964783
17,2849,4608,6816,71,48,0.8092447916666666,7.770482540130615,0.7207502126693726
18,2373,2592,5856,61,27,0.4490017361111111,7.683517932891846,0.7121288776397705
19,452,4800,1920,20,50,0.9621310763888888,7.675847053527832,0.7113683819770813
20,1855,2592,4992,52,27,0.4470486111111111,7.649658203125,0.7087721228599548
21,307,2688,1536,16,28,0.2642144097222222,7.5022172927856445,0.6941553354263306
22,1207,3648,3840,40,38,0.8319227430555556,7.485562324523926,0.6925042271614075
23,1020,3456,3456,36,36,0.9658203125,7.446623802185059,0.6886439919471741
24,2524,5952,6144,64,62,0.9986979166666666,7.409202575683594,0.684934139251709
25,2645,3552,6432,67,37,0.4206814236111111,7.3390984535217285,0.6779842972755432
26,1242,2208,3936,41,23,0.9786241319444444,7.289858341217041,0.6731027960777283
27,1308,3456,4032,42,36,0.9129774305555556,7.283038139343262,0.6724266409873962
28,2798,4032,6720,70,42,0.6592881944444444,7.269078731536865,0.6710427403450012
29,285,3456,1440,15,36,0.9735243055555556,7.135776519775391,0.657827615737915
30,975,3264,3360,35,34,0.8838975694444444,7.076692581176758,0.6519702076911926
31,2762,5760,6624,69,60,0.9840494791666666,7.018294811248779,0.6461808681488037
32,268,4608,1344,14,48,0.9741753472222222,6.8693718910217285,0.6314171552658081
33,1934,4512,5088,53,47,0.9832899305555556,6.811270236968994,0.6256571412086487
34,2581,480,6336,66,5,0.3815104166666667,6.805106163024902,0.6250460743904114
35,164,4800,960,10,50,0.8870442708333334,6.71714973449707,0.6163263320922852
36,2623,6432,6336,66,67,0.9740668402777778,6.709053039550781,0.6155236959457397
37,1056,2592,3552,37,27,0.9202473958333334,6.6650567054748535,0.611162006855011
38,2498,1536,6144,64,16,0.658203125,6.593039035797119,0.6040224432945251
39,420,4992,1824,19,52,0.9672309027777778,6.532855033874512,0.5980560183525085
40,297,4608,1440,15,48,0.9618055555555556,6.526715278625488,0.5974473357200623
41,1157,3456,3744,39,36,0.6501736111111112,6.4726409912109375,0.5920866131782532
42,215,4896,1152,12,51,0.9148220486111112,6.447675704956055,0.5896115899085999
43,2553,4416,6240,65,46,0.5091145833333334,6.445311546325684,0.589377224445343
44,1090,5856,3552,37,61,0.21875,6.422420501708984,0.5871078968048096
45,2646,3840,6432,67,40,0.6841362847222222,6.36439847946167,0.5813558101654053
46,2598,4032,6336,66,42,0.5131293402777778,6.360623359680176,0.5809815526008606
47,262,4032,1344,14,42,0.9920789930555556,6.35432243347168,0.5803568959236145
48,543,3648,2208,23,38,0.9892578125,6.3287482261657715,0.5778215527534485
49,1049,1920,3552,37,20,0.9561631944444444,6.24462890625,0.5694822072982788
50,2780,672,6720,70,7,0.2575954861111111,6.22183895111084,0.5672228932380676
51,219,5280,1152,12,55,0.5940755208333334,6.192886829376221,0.5643526911735535
52,742,3168,2784,29,33,0.9130859375,6.191848278045654,0.5642497539520264
53,2209,2208,5568,58,23,0.4675564236111111,6.161430835723877,0.5612342357635498
54,918,1920,3264,34,20,0.8511284722222222,6.116864204406738,0.556816041469574
55,1304,3072,4032,42,32,0.7439236111111112,6.115091800689697,0.5566403865814209
56,2644,3456,6432,67,36,0.5377604166666666,6.103242874145508,0.5554656982421875
57,2346,5568,5760,60,58,0.9900173611111112,6.046996593475342,0.5498896241188049
58,2624,6528,6336,66,68,0.9866536458333334,6.044753551483154,0.549667239189148
59,1004,1920,3456,36,20,0.9457465277777778,6.0417327880859375,0.5493677854537964
60,2640,3072,6432,67,32,0.23958333333333334,6.025825023651123,0.5477907657623291
61,1284,6240,3936,41,65,0.2969835069444444,6.0219807624816895,0.5474096536636353
62,73,4320,576,6,45,0.9722222222222222,6.020585536956787,0.5472713112831116
