rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,503,6912,2208,23,72,0.4613715277777778,18.14398956298828,1.0
2,990,6816,2976,31,71,0.6293402777777778,17.293378829956055,0.9517853856086731
3,449,6912,2112,22,72,0.4008246527777778,17.0528507232666,0.9381517171859741
4,994,7200,2976,31,75,0.5373263888888888,17.02737045288086,0.9367075562477112
5,1619,7776,3840,40,81,0.4848090277777778,16.7669620513916,0.9219468832015991
6,3878,2496,7392,77,26,0.4114583333333333,16.69188117980957,0.917691171169281
7,929,7104,2880,30,74,0.5287543402777778,16.662012100219727,0.915998101234436
8,394,6720,2016,21,70,0.5736762152777778,16.543781280517578,0.9092966318130493
9,210,6624,1632,17,69,0.4459635416666667,16.30608558654785,0.8958234786987305
10,3838,2400,7296,76,25,0.4609375,16.28449821472168,0.8945998549461365
11,1473,7200,3648,38,75,0.5372178819444444,16.149019241333008,0.8869205713272095
12,1200,7776,3264,34,81,0.6200086805555556,16.139209747314453,0.8863645792007446
13,2265,7584,4704,49,79,0.4965277777777778,16.04680824279785,0.8811270594596863
14,131,6336,1440,15,66,0.5174696180555556,16.038026809692383,0.880629301071167
15,743,7392,2592,27,77,0.4813368055555556,15.96888256072998,0.876710057258606
16,396,6912,2016,21,72,0.3902994791666667,15.93465518951416,0.8747699856758118
17,1267,7584,3360,35,79,0.4548611111111111,15.79733943939209,0.8669865727424622
18,1401,7008,3552,37,73,0.5315755208333334,15.785361289978027,0.8663076758384705
19,1261,7008,3360,35,73,0.5730251736111112,15.735916137695312,0.8635050058364868
20,296,6624,1824,19,69,0.5335286458333334,15.725643157958984,0.8629226684570312
21,1686,7392,3936,41,77,0.4773220486111111,15.711594581604004,0.8621264100074768
22,866,7104,2784,29,74,0.5152994791666666,15.686060905456543,0.8606790900230408
23,169,6432,1536,16,67,0.5577256944444444,15.664371490478516,0.8594496846199036
24,803,7104,2688,28,74,0.4494357638888889,15.582725524902344,0.8548218011856079
25,297,6720,1824,19,70,0.3970269097222222,15.556665420532227,0.8533446788787842
26,3996,4032,7776,81,42,0.4016927083333333,15.520129203796387,0.8512737154960632
27,993,7104,2976,31,74,0.5577256944444444,15.503520965576172,0.8503323197364807
28,1971,7200,4320,45,75,0.490234375,15.49089527130127,0.8496166467666626
29,3995,3936,7776,81,41,0.3466796875,15.421784400939941,0.8456993103027344
30,251,6528,1728,18,68,0.5652126736111112,15.383135795593262,0.8435086011886597
31,2262,7296,4704,49,76,0.5033637152777778,15.298493385314941,0.8387109041213989
32,2480,7488,4992,52,78,0.4293619791666667,15.263365745544434,0.836719810962677
33,1973,7392,4320,45,77,0.3916015625,15.212483406066895,0.8338356614112854
34,2552,7584,5088,53,79,0.4657118055555556,15.211869239807129,0.8338008522987366
35,2407,7392,4896,51,77,0.4906684027777778,15.210023880004883,0.8336962461471558
36,3959,4128,7584,79,43,0.5552300347222222,15.169678688049316,0.8314093947410583
37,616,6816,2400,25,71,0.4816623263888889,15.153459548950195,0.8304900527000427
38,930,7200,2880,30,75,0.4907769097222222,15.095579147338867,0.8272092938423157
39,2013,4320,4416,46,45,0.5198567708333334,15.09185791015625,0.8269983530044556
40,1614,7296,3840,40,76,0.5396050347222222,15.075983047485352,0.8260985016822815
41,1757,7296,4032,42,76,0.5577256944444444,15.062597274780273,0.8253397941589355
42,1828,7296,4128,43,76,0.5355902777777778,15.033854484558105,0.823710560798645
43,3957,3936,7584,79,41,0.5860460069444444,15.01689624786377,0.8227493166923523
44,343,6624,1920,20,69,0.5352647569444444,14.975672721862793,0.8204126954078674
45,1262,7104,3360,35,74,0.5613064236111112,14.955304145812988,0.8192581534385681
