rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,122,2976,864,9,31,0.1540798611111111,1.8097803592681885,1.0
2,1555,1248,4512,47,13,0.1782769097222222,1.0057926177978516,0.37069427967071533
3,2543,2496,6240,65,26,0.19151475694444445,0.9026870727539062,0.2899904251098633
4,914,5664,3168,33,59,0.1896701388888889,0.8383609056472778,0.23964037001132965
5,44,4800,384,4,50,0.1802300347222222,0.8104050159454346,0.217758446931839
6,2778,480,6720,70,5,0.2907986111111111,0.8031699657440186,0.21209535002708435
7,79,4896,576,6,51,0.2609592013888889,0.674750804901123,0.11157775670289993
8,2598,4032,6336,66,42,0.5131293402777778,0.6658132076263428,0.10458202660083771
9,2499,2016,6144,64,21,0.1618923611111111,0.5858076810836792,0.041959263384342194
10,2597,3936,6336,66,41,0.259765625,0.5472006797790527,0.011740386486053467
11,2726,0,6624,69,0,0.1736111111111111,0.5322014093399048,0.0
