rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,1898,6720,4992,52,70,0.9935980902777778,6.77935266494751,1.0
2,365,5472,1632,17,57,0.5296223958333334,5.373401641845703,0.7760387063026428
3,56,4416,480,5,46,0.9640842013888888,4.585888385772705,0.6505916118621826
4,67,3744,576,6,39,0.9916449652777778,4.4351019859313965,0.6265720725059509
5,2636,2016,6432,67,21,0.1630859375,4.292163848876953,0.6038026809692383
6,2453,6816,5952,62,71,0.9714626736111112,4.233671188354492,0.5944851040840149
7,2359,6816,5760,60,71,0.9778645833333334,4.174493789672852,0.5850584506988525
8,2306,6816,5664,59,71,0.9792751736111112,4.153786659240723,0.5817598700523376
9,68,3840,576,6,40,0.978515625,3.9544014930725098,0.5499987602233887
10,2737,1440,6624,69,15,0.18055555555555555,3.9128546714782715,0.5433805584907532
11,42,4608,384,4,48,0.8381076388888888,3.8279941082000732,0.5298627018928528
12,2494,6912,6048,63,72,0.9151475694444444,3.8067827224731445,0.5264838337898254
13,83,3456,672,7,36,0.9625651041666666,3.7201473712921143,0.5126832127571106
14,1193,2304,3840,40,24,0.9190538194444444,3.671653985977173,0.50495845079422
15,2326,3648,5760,60,38,0.1773003472222222,3.6511497497558594,0.5016922354698181
16,82,3360,672,7,35,0.9636501736111112,3.6341941356658936,0.4989912807941437
17,1281,5952,3936,41,62,0.6145833333333334,3.4292714595794678,0.4663480818271637
18,1517,2976,4416,46,31,0.4286024305555556,3.408644914627075,0.4630623757839203
19,196,3072,1152,12,32,0.95703125,3.4015848636627197,0.46193772554397583
20,75,4512,576,6,47,0.962890625,3.3436992168426514,0.4527168273925781
21,1103,2688,3648,38,28,0.3905164930555556,3.2301294803619385,0.4346257150173187
22,2532,6720,6144,64,70,0.9790581597222222,3.153237819671631,0.42237722873687744
23,2939,6720,6934,73,70,0.9717881944444444,3.0196142196655273,0.40109163522720337
24,54,4224,480,5,44,0.9703776041666666,3.0078346729278564,0.3992152214050293
25,2748,4224,6624,69,44,0.9031032986111112,3.007316827774048,0.39913272857666016
