rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,2271,1248,4800,50,13,0.6253255208333334,7.293816089630127,1.0
2,2415,1248,4992,52,13,0.6105685763888888,6.8793463706970215,0.939001739025116
3,286,5568,1824,19,58,0.4984809027777778,6.81062650680542,0.9288880825042725
4,751,2112,2688,28,22,0.4962022569444444,6.790122032165527,0.925870418548584
5,169,6432,1536,16,67,0.5577256944444444,6.765310764312744,0.922218918800354
6,519,3072,2304,24,32,0.5219184027777778,6.656985759735107,0.906276524066925
7,864,6912,2784,29,72,0.5256076388888888,6.6384077072143555,0.9035423398017883
8,2343,1248,4896,51,13,0.6604817708333334,6.466364860534668,0.8782224655151367
9,199,5472,1632,17,57,0.4780815972222222,6.378054618835449,0.8652257323265076
10,722,5376,2592,27,56,0.6408420138888888,6.360924243927002,0.8627045750617981
11,639,3264,2496,26,34,0.4845920138888889,6.345590591430664,0.860447883605957
12,1934,3648,4320,45,38,0.4653862847222222,6.324627876281738,0.8573628067970276
13,1021,3456,3072,32,36,0.4908854166666667,6.280594348907471,0.8508822917938232
14,1157,3648,3264,34,38,0.6231553819444444,6.267861843109131,0.8490084409713745
15,437,5760,2112,22,60,0.3805338541666667,6.210488796234131,0.8405647277832031
16,993,7104,2976,31,74,0.5577256944444444,6.166919231414795,0.8341525197029114
17,1331,7008,3456,36,73,0.5169270833333334,6.1625165939331055,0.8335045576095581
18,3448,6912,6432,67,72,0.4013671875,6.123753070831299,0.8277996778488159
19,3960,4224,7584,79,44,0.6019965277777778,6.09327507019043,0.8233141899108887
20,830,3648,2784,29,38,0.5498046875,6.079670429229736,0.8213119506835938
21,2183,6720,4608,48,70,0.4878472222222222,6.001680850982666,0.8098340630531311
22,1088,3456,3168,33,36,0.5777994791666666,5.991953372955322,0.8084024786949158
23,1419,2016,3648,38,21,0.5882161458333334,5.989232063293457,0.8080019950866699
24,23,4224,1152,12,44,0.5858289930555556,5.986234664916992,0.8075608611106873
25,621,7296,2400,25,76,0.390625,5.976612091064453,0.806144654750824
26,1205,1632,3360,35,17,0.6111111111111112,5.956242084503174,0.8031467795372009
27,1806,5088,4128,43,53,0.6426866319444444,5.94032621383667,0.8008044362068176
28,991,6912,2976,31,72,0.564453125,5.933945655822754,0.7998653650283813
29,2344,1344,4896,51,14,0.6087239583333334,5.917313575744629,0.7974175810813904
30,2068,2688,4512,47,28,0.6520182291666666,5.898463249206543,0.7946433424949646
31,931,7296,2880,30,76,0.22916666666666666,5.895364284515381,0.7941873073577881
