rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,920,4224,2592,27,44,0.7337239583333334,0.8857869505882263,1.0
2,2725,5664,5088,53,59,0.6343315972222222,0.8773055672645569,0.9779365658760071
3,459,5376,1824,19,56,0.5016276041666666,0.768428385257721,0.6947036981582642
4,1461,4896,3360,35,51,0.6175130208333334,0.726440966129303,0.5854777693748474
5,513,5280,1920,20,55,0.7108289930555556,0.6811249852180481,0.46759289503097534
6,2749,1344,5184,54,14,0.5353732638888888,0.6725010275840759,0.44515854120254517
7,95,4128,1056,11,43,0.4855685763888889,0.6575037240982056,0.4061445891857147
8,539,2400,2016,21,25,0.6509331597222222,0.6471457481384277,0.37919938564300537
9,655,2304,2208,23,24,0.6730685763888888,0.6448981165885925,0.37335240840911865
10,993,4992,2688,28,52,0.7625868055555556,0.6395859718322754,0.3595333993434906
11,2235,6144,4416,46,64,0.640625,0.6365506052970886,0.35163721442222595
12,3400,2784,6144,64,29,0.6851128472222222,0.6145722270011902,0.2944627106189728
13,524,6336,1920,20,66,0.6029730902777778,0.6124764084815979,0.2890106439590454
14,441,3648,1824,19,38,0.7541232638888888,0.6124483346939087,0.28893762826919556
15,1942,5280,4032,42,55,0.7143012152777778,0.5953463315963745,0.24444851279258728
16,1797,4704,3840,40,49,0.7100694444444444,0.5916958451271057,0.2349521517753601
17,3565,3456,6432,67,36,0.6843532986111112,0.5847048759460449,0.2167658507823944
18,2755,1920,5184,54,20,0.6998697916666666,0.5761821866035461,0.19459494948387146
19,827,1344,2496,26,14,0.6597222222222222,0.5730528235435486,0.18645423650741577
20,3531,5088,6336,66,53,0.7444661458333334,0.5705797672271729,0.18002083897590637
21,2187,1536,4416,46,16,0.7604166666666666,0.5600143074989319,0.15253587067127228
22,2738,6912,5088,53,72,0.6818576388888888,0.5486894249916077,0.12307535856962204
23,3108,3840,5664,59,40,0.6934678819444444,0.5408991575241089,0.10280977189540863
24,2797,5952,5184,54,62,0.6631944444444444,0.5395541787147522,0.09931094944477081
25,1660,4608,3648,38,48,0.6793619791666666,0.5314640998840332,0.07826543599367142
26,342,4032,1632,17,42,0.7277560763888888,0.5283411741256714,0.07014146447181702
27,1320,4416,3168,33,46,0.7301432291666666,0.5212806463241577,0.05177422985434532
28,1199,5664,2976,31,59,0.6468098958333334,0.5138148665428162,0.03235276788473129
29,1732,4992,3744,39,52,0.6494140625,0.5116196274757385,0.026642078533768654
30,537,2208,2016,21,23,0.5858289930555556,0.5112649202346802,0.02571934461593628
31,2885,1344,5376,56,14,0.7213541666666666,0.5083432793617249,0.018118996173143387
32,913,3552,2592,27,37,0.7433810763888888,0.5067586898803711,0.013996847905218601
33,1319,4320,3168,33,45,0.6717664930555556,0.5040057301521301,0.006835306063294411
34,688,5472,2208,23,57,0.6263020833333334,0.5017107129096985,0.0008650539093650877
35,3044,3840,5568,58,40,0.6924913194444444,0.5013781785964966,0.0
