rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,3520,4032,6336,66,42,0.7960069444444444,1.3597838878631592,1.0
2,3159,2592,5760,60,27,0.7177734375,1.3468221426010132,0.984961986541748
3,3136,6528,5664,59,68,0.6563585069444444,1.2681009769439697,0.8936307430267334
4,163,3744,1248,13,39,0.7453342013888888,1.2335224151611328,0.8535131812095642
5,280,2592,1536,16,27,0.5606553819444444,1.2229406833648682,0.841236412525177
6,3455,2880,6240,65,30,0.6200086805555556,1.2028075456619263,0.817878246307373
7,1571,2592,3552,37,27,0.5847439236111112,1.163783073425293,0.7726026177406311
8,2144,4320,4320,45,45,0.6416015625,1.1588921546936035,0.7669281959533691
9,3556,2592,6432,67,27,0.6954210069444444,1.1522406339645386,0.7592112421989441
10,678,4512,2208,23,47,0.7160373263888888,1.1494375467300415,0.7559590935707092
11,37,4128,864,9,43,0.7165798611111112,1.1130708456039429,0.7137669920921326
12,1359,1632,3264,34,17,0.6139322916666666,1.1080414056777954,0.7079318761825562
13,3692,3456,6720,70,36,0.7267795138888888,1.0977503061294556,0.6959922909736633
14,3719,2688,6816,71,28,0.5513237847222222,1.095292329788208,0.6931405663490295
15,2607,1056,4992,52,11,0.6652560763888888,1.0877740383148193,0.6844179630279541
16,3507,2784,6336,66,29,0.6713324652777778,1.0873862504959106,0.6839680671691895
17,133,4416,1152,12,46,0.7073567708333334,1.084521770477295,0.6806447505950928
18,377,2496,1728,18,26,0.6256510416666666,1.08421790599823,0.6802921891212463
19,99,4512,1056,11,47,0.6711154513888888,1.0755118131637573,0.6701915264129639
20,252,4224,1440,15,44,0.6861979166666666,1.0753960609436035,0.6700572371482849
21,709,1824,2304,24,19,0.5732421875,1.0739678144454956,0.6684001684188843
22,783,3168,2400,25,33,0.7432725694444444,1.072510838508606,0.666709840297699
23,3471,4416,6240,65,46,0.7258029513888888,1.063222050666809,0.6559330821037292
24,3525,4512,6336,66,47,0.6817491319444444,1.0587965250015259,0.6507986783981323
25,1193,5088,2976,31,53,0.5760633680555556,1.0562434196472168,0.6478365659713745
26,1411,6624,3264,34,69,0.6520182291666666,1.051997423171997,0.6429104208946228
27,389,3648,1728,18,38,0.6856553819444444,1.0472965240478516,0.6374565362930298
28,1130,5568,2880,30,58,0.5986328125,1.0464506149291992,0.6364750862121582
29,424,2016,1824,19,21,0.5275607638888888,1.040482997894287,0.6295515894889832
30,223,5568,1344,14,58,0.5205078125,1.0395020246505737,0.6284134387969971
31,2437,4992,4704,49,52,0.6416015625,1.0384784936904907,0.6272259950637817
32,1794,4416,3840,40,46,0.6340060763888888,1.0376535654067993,0.6262689232826233
33,3237,4032,5856,61,42,0.7412109375,1.033971905708313,0.6219974756240845
34,420,1632,1824,19,17,0.5677083333333334,1.030502200126648,0.6179719567298889
35,192,2592,1344,14,27,0.4935980902777778,1.016148567199707,0.6013190746307373
36,3070,6336,5568,58,66,0.5980902777777778,1.0082756280899048,0.5921850204467773
37,2562,3456,4896,51,36,0.5888671875,1.0070092678070068,0.5907158255577087
38,2849,4416,5280,55,46,0.7733289930555556,1.0066416263580322,0.590289294719696
39,134,4512,1152,12,47,0.6984592013888888,1.0056174993515015,0.5891010761260986
40,478,1920,1920,20,20,0.6333550347222222,1.0054316520690918,0.588885486125946
41,3291,3456,5952,62,36,0.6196831597222222,1.004786491394043,0.5881369709968567
42,1615,6816,3552,37,71,0.6416015625,1.003521203994751,0.5866690278053284
43,1842,2400,3936,41,25,0.5896267361111112,1.0012434720993042,0.5840263962745667
44,2012,5280,4128,43,55,0.6649305555555556,1.001120924949646,0.5838842391967773
45,3768,4800,6912,72,50,0.7784288194444444,0.9998958706855774,0.5824629664421082
46,609,3552,2112,22,37,0.6931423611111112,0.9980631470680237,0.5803366303443909
47,2800,6240,5184,54,65,0.7049696180555556,0.9922654032707214,0.5736101865768433
48,273,1920,1536,16,20,0.5427517361111112,0.9918171763420105,0.573090136051178
49,423,1920,1824,19,20,0.6478949652777778,0.9915247559547424,0.5727508664131165
50,3585,5472,6432,67,57,0.6396484375,0.9893742203712463,0.5702558755874634
51,1068,5952,2784,29,62,0.6768663194444444,0.9892922043800354,0.5701607465744019
52,231,2208,1440,15,23,0.6073133680555556,0.9887920022010803,0.5695803761482239
53,867,5184,2496,26,54,0.6203342013888888,0.9843787550926208,0.5644602179527283
54,3194,5952,5760,60,62,0.6362847222222222,0.9801427721977234,0.5595456957817078
55,311,5568,1536,16,58,0.4893663194444444,0.9777564406394958,0.5567770600318909
56,3711,5472,6720,70,57,0.7543402777777778,0.9737095236778259,0.5520818829536438
57,2995,5472,5472,57,57,0.7587890625,0.9733951687812805,0.551717221736908
58,612,3840,2112,22,40,0.7263454861111112,0.9716801047325134,0.5497273802757263
59,422,1824,1824,19,19,0.5908203125,0.9709425568580627,0.5488716959953308
60,3355,3936,6048,63,41,0.7738715277777778,0.9697051644325256,0.5474361181259155
61,1528,4896,3456,36,51,0.6655815972222222,0.9681184887886047,0.5455952882766724
62,3663,4512,6624,69,47,0.7484809027777778,0.9661362767219543,0.5432955622673035
63,211,4416,1344,14,46,0.8015407986111112,0.965644896030426,0.5427254438400269
64,3470,4320,6240,65,45,0.6652560763888888,0.9612553715705872,0.5376327633857727
65,3791,4320,7008,73,45,0.6984592013888888,0.96086186170578,0.537176251411438
66,3032,2688,5568,58,28,0.7212456597222222,0.95597904920578,0.5315112471580505
67,370,1824,1728,18,19,0.5858289930555556,0.9559087157249451,0.531429648399353
68,2974,3456,5472,57,36,0.6307508680555556,0.9556353688240051,0.531112551689148
69,737,4512,2304,24,47,0.6648220486111112,0.9551118016242981,0.5305051207542419
70,2659,6048,4992,52,63,0.6121961805555556,0.9538754820823669,0.5290707349777222
71,3557,2688,6432,67,28,0.6482204861111112,0.9533466696739197,0.5284572243690491
72,3053,4704,5568,58,49,0.7234157986111112,0.9485686421394348,0.5229138135910034
73,325,2400,1632,17,25,0.6304253472222222,0.947016179561615,0.5211126804351807
74,3404,3168,6144,64,33,0.5029296875,0.9406639933586121,0.5137429237365723
75,992,4896,2688,28,51,0.4269748263888889,0.9401375651359558,0.5131322145462036
76,3396,2400,6144,64,25,0.6650390625,0.939580500125885,0.512485921382904
77,637,6240,2112,22,65,0.4077690972222222,0.9374138712882996,0.5099722146987915
78,855,4032,2496,26,42,0.6991102430555556,0.9349340796470642,0.5070951581001282
79,3048,4224,5568,58,44,0.7335069444444444,0.9344881176948547,0.5065777897834778
80,3765,4512,6912,72,47,0.6498480902777778,0.9334356188774109,0.5053566694259644
81,1131,5664,2880,30,59,0.6880425347222222,0.9322314858436584,0.5039596557617188
82,1070,6144,2784,29,64,0.5501302083333334,0.9317671656608582,0.5034209489822388
83,1382,3840,3264,34,40,0.6620008680555556,0.9315134882926941,0.5031266808509827
84,3573,4320,6432,67,45,0.6622178819444444,0.9308416247367859,0.5023471713066101
85,1129,5472,2880,30,57,0.6300998263888888,0.9307094216346741,0.502193808555603
86,3736,4608,6816,71,48,0.7231987847222222,0.930203378200531,0.5016067028045654
87,621,4704,2112,22,49,0.5411241319444444,0.9286037087440491,0.4997507631778717
88,3161,2784,5760,60,29,0.6218532986111112,0.9258454442024231,0.49655067920684814
89,3631,5376,6528,68,56,0.7199435763888888,0.9242585301399231,0.4947095513343811
90,1545,6528,3456,36,68,0.7014973958333334,0.9191146492958069,0.4887416958808899
91,2063,3360,4224,44,35,0.5741102430555556,0.9165074229240417,0.4857168197631836
92,769,1824,2400,25,19,0.5690104166666666,0.9143157601356506,0.48317408561706543
93,3718,2592,6816,71,27,0.578125,0.9142559170722961,0.4831046760082245
94,1612,6528,3552,37,68,0.6312934027777778,0.9134239554405212,0.4821394383907318
95,597,2400,2112,22,25,0.6151258680555556,0.9121257662773132,0.48063328862190247
96,2900,2784,5376,56,29,0.7377387152777778,0.9120684266090393,0.48056676983833313
97,3362,4608,6048,63,48,0.7112630208333334,0.9106034636497498,0.47886714339256287
98,3620,4320,6528,68,45,0.6586371527777778,0.9091255068778992,0.47715243697166443
99,404,5088,1728,18,53,0.6265190972222222,0.9086479544639587,0.4765983819961548
100,2858,5280,5280,55,55,0.6620008680555556,0.9073078036308289,0.47504356503486633
101,3178,4416,5760,60,46,0.7315538194444444,0.9061926007270813,0.47374972701072693
102,3259,6144,5856,61,64,0.6255425347222222,0.9058240056037903,0.4733220934867859
103,3131,6048,5664,59,63,0.6482204861111112,0.9032577872276306,0.47034478187561035
104,190,2400,1344,14,25,0.6106770833333334,0.9016065001487732,0.46842899918556213
105,3410,3744,6144,64,39,0.6259765625,0.9012909531593323,0.4680629074573517
106,3189,5472,5760,60,57,0.7418619791666666,0.8999558091163635,0.46651387214660645
107,323,2208,1632,17,23,0.6095920138888888,0.8977773785591125,0.46398648619651794
108,764,1344,2400,25,14,0.478515625,0.897526204586029,0.46369507908821106
109,1924,3552,4032,42,37,0.4801432291666667,0.8966577649116516,0.46268752217292786
