rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,1079,7104,2784,29,74,0.1792534722222222,8.104424476623535,1.0
2,3747,2400,6912,72,25,0.2565104166666667,7.198033332824707,0.8807343244552612
3,3826,2016,7488,78,21,0.16178385416666666,6.399021148681641,0.7755979299545288
4,364,0,1728,18,0,0.1521267361111111,6.007046699523926,0.724020779132843
5,3827,1536,7776,81,16,0.5225694444444444,5.902341365814209,0.7102433443069458
6,0,6816,96,1,71,0.1675347222222222,5.737298011779785,0.688526451587677
7,1146,7104,2880,30,74,0.8326822916666666,5.176695346832275,0.61476069688797
8,2619,2208,4992,52,23,0.7862413194444444,5.0438313484191895,0.5972780585289001
9,3596,1824,6528,68,19,0.7068142361111112,4.773338317871094,0.5616857409477234
10,75,6816,960,10,71,0.2735460069444444,4.42636251449585,0.5160296559333801
11,1,4992,192,2,52,0.22276475694444445,4.11218786239624,0.47468963265419006
12,1863,4416,3936,41,46,0.6693793402777778,3.855252742767334,0.4408813416957855
13,1860,4128,3936,41,43,0.6217447916666666,3.2983148097991943,0.3675977885723114
14,2657,5856,4992,52,61,0.7009548611111112,2.9993624687194824,0.32826074957847595
15,412,5856,1728,18,61,0.3543836805555556,2.9903764724731445,0.32707834243774414
16,3139,6816,5664,59,71,0.3127170138888889,2.8401870727539062,0.30731597542762756
17,1791,4128,3840,40,43,0.6838107638888888,2.809748649597168,0.3033107817173004
18,2131,3072,4320,45,32,0.8518880208333334,2.703909158706665,0.289384126663208
19,1788,3840,3840,40,40,0.6831597222222222,2.6931869983673096,0.2879732549190521
20,230,2112,1440,15,22,0.5935329861111112,2.6034257411956787,0.27616220712661743
21,2466,960,4800,50,10,0.8761935763888888,2.5761563777923584,0.2725740075111389
22,3107,3744,5664,59,39,0.6264105902777778,2.3934130668640137,0.2485281080007553
23,3700,4416,6720,70,46,0.4929470486111111,2.3722379207611084,0.2457418292760849
24,521,6048,1920,20,63,0.3774956597222222,2.3333547115325928,0.24062545597553253
25,944,6528,2592,27,68,0.3859592013888889,2.304551601409912,0.23683544993400574
26,1954,6432,4032,42,67,0.6482204861111112,2.2886078357696533,0.23473753035068512
27,235,2592,1440,15,27,0.5067274305555556,2.2432281970977783,0.2287663370370865
