rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,892,3552,2880,30,37,0.1833767361111111,7.90722131729126,1.0
2,956,3552,2976,31,37,0.24837239583333334,7.0548601150512695,0.8846519589424133
3,513,2496,2304,24,26,0.3484157986111111,4.457557678222656,0.5331647992134094
4,512,2400,2304,24,25,0.23057725694444445,4.1888298988342285,0.49679848551750183
5,437,5760,2112,22,60,0.3805338541666667,3.633281707763672,0.42161738872528076
6,893,3648,2880,30,38,0.3851996527777778,3.1150593757629395,0.35148751735687256
7,125,5664,1440,15,59,0.3643663194444444,2.5929665565490723,0.2808338701725006
8,167,6240,1536,16,65,0.2594401041666667,2.1112473011016846,0.21564388275146484
9,868,7296,2784,29,76,0.1589626736111111,2.1068532466888428,0.21504925191402435
10,336,5952,1920,20,62,0.3636067708333333,1.9309029579162598,0.19123829901218414
11,564,7392,2304,24,77,0.15234375,1.918022632598877,0.1894952356815338
12,91,5664,1344,14,59,0.2943793402777778,1.854453444480896,0.18089255690574646
13,16,5376,1056,11,56,0.2699652777777778,1.6144813299179077,0.148417666554451
14,931,7296,2880,30,76,0.22916666666666666,1.5778800249099731,0.14346449077129364
15,1271,1248,3456,36,13,0.15809461805555555,1.4185227155685425,0.12189903110265732
16,62,5664,1248,13,59,0.3057725694444444,1.3496826887130737,0.11258306354284286
17,1503,3264,3744,39,34,0.5934244791666666,1.2960360050201416,0.1053231805562973
18,805,7296,2688,28,76,0.2715928819444444,1.248663067817688,0.0989123061299324
19,386,5952,2016,21,62,0.4792751736111111,1.2482826709747314,0.09886082261800766
20,559,6912,2304,24,72,0.5498046875,1.2120416164398193,0.09395640343427658
21,571,2496,2400,25,26,0.3885633680555556,1.1546363830566406,0.08618788421154022
22,440,6048,2112,22,63,0.4461805555555556,1.0956292152404785,0.07820257544517517
23,741,7200,2592,27,75,0.26953125,1.0858008861541748,0.07687252759933472
24,1895,6816,4224,44,71,0.3640407986111111,1.0416185855865479,0.07089343667030334
25,207,6336,1632,17,66,0.5144314236111112,1.0094817876815796,0.06654443591833115
26,558,6816,2304,24,71,0.3504774305555556,0.9740191102027893,0.061745353043079376
27,98,3072,1440,15,32,0.1840277777777778,0.9045873880386353,0.05234931409358978
28,399,0,2112,22,0,0.21082899305555555,0.8898499011993408,0.05035492405295372
29,160,5472,1536,16,57,0.4634331597222222,0.8549619913101196,0.045633621513843536
30,243,5664,1728,18,59,0.4856770833333333,0.8192012310028076,0.04079419746994972
31,924,6624,2880,30,69,0.3451605902777778,0.7894834876060486,0.03677256405353546
32,129,6048,1440,15,63,0.2544487847222222,0.7657948732376099,0.03356683626770973
33,922,6432,2880,30,67,0.4182942708333333,0.7382497787475586,0.02983921952545643
34,1834,7872,4128,43,82,0.4334852430555556,0.6140138506889343,0.013026650995016098
35,34,5280,1152,12,55,0.5921223958333334,0.6121079921722412,0.01276873517781496
36,438,5856,2112,22,61,0.4406467013888889,0.6079086661338806,0.012200450524687767
37,163,5760,1536,16,60,0.4213324652777778,0.582240104675293,0.008726781234145164
38,1396,6528,3552,37,68,0.5361328125,0.5796604752540588,0.008377686142921448
39,244,5760,1728,18,60,0.5045572916666666,0.5638467073440552,0.006237644236534834
40,1469,6816,3648,38,71,0.2384982638888889,0.562339723110199,0.006033707410097122
41,932,7392,2880,30,77,0.2985026041666667,0.5562746524810791,0.0052129351533949375
42,801,6912,2688,28,72,0.4887152777777778,0.5385622382164001,0.0028159539215266705
43,738,6912,2592,27,72,0.5606553819444444,0.530357301235199,0.00170559820253402
44,1840,1536,4224,44,16,0.4883897569444444,0.5217124223709106,0.0005357061163522303
45,1274,1536,3456,36,16,0.6004774305555556,0.5177538394927979,0.0
