rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,821,3744,2976,31,39,0.9637586805555556,1.7163503170013428,1.0
2,879,2208,3168,33,23,0.8628472222222222,1.6746494770050049,0.9657581448554993
3,903,4512,3168,33,47,0.9639756944444444,1.6395866870880127,0.9369670152664185
4,179,3840,1056,11,40,0.9861111111111112,1.6129181385040283,0.9150686264038086
5,679,3840,2592,27,40,0.9751519097222222,1.5599095821380615,0.8715416789054871
6,904,4608,3168,33,48,0.9877387152777778,1.5565459728240967,0.868779718875885
7,1608,6432,4512,47,67,0.9802517361111112,1.5487983226776123,0.8624178767204285
8,614,3936,2400,25,41,0.96875,1.5458283424377441,0.8599791526794434
9,2626,6720,6336,66,70,0.9306640625,1.5140700340270996,0.8339014053344727
10,1123,4608,3648,38,48,0.9934895833333334,1.5135774612426758,0.8334969282150269
11,511,3840,2112,22,40,0.9766710069444444,1.4907166957855225,0.8147252202033997
12,809,2592,2976,31,27,0.9599609375,1.4895310401916504,0.8137516379356384
13,522,4896,2112,22,51,0.9881727430555556,1.4824244976043701,0.8079162240028381
14,478,3840,2016,21,40,0.9802517361111112,1.4802591800689697,0.8061382174491882
15,2135,6240,5376,56,65,0.9977213541666666,1.4419770240783691,0.7747035622596741
16,138,4512,864,9,47,0.9722222222222222,1.433743953704834,0.7679431438446045
17,2861,5760,6816,71,60,0.9920789930555556,1.4263041019439697,0.7618340253829956
18,180,3936,1056,11,41,0.9869791666666666,1.4208855628967285,0.757384717464447
19,2867,6336,6816,71,66,0.974609375,1.3968839645385742,0.7376762628555298
20,257,3552,1344,14,37,0.9871961805555556,1.3951442241668701,0.736247718334198
21,2249,6720,5568,58,70,0.9951171875,1.3913795948028564,0.7331564426422119
22,623,4800,2400,25,50,0.9698350694444444,1.390484094619751,0.7324211001396179
23,1287,1440,4032,42,15,0.9645182291666666,1.3816876411437988,0.7251980900764465
24,2185,5856,5472,57,61,0.9986979166666666,1.377225399017334,0.721534013748169
25,747,3648,2784,29,38,0.9620225694444444,1.3737897872924805,0.7187129259109497
26,2624,6528,6336,66,68,0.9866536458333334,1.3561005592346191,0.7041877508163452
27,648,4032,2496,26,42,0.966796875,1.3443734645843506,0.6945582628250122
28,2003,5376,5184,54,56,0.9989149305555556,1.342566728591919,0.6930747032165527
29,1839,6720,4896,51,70,0.9835069444444444,1.3389925956726074,0.6901398301124573
30,88,3936,672,7,41,0.9861111111111112,1.327810525894165,0.6809579133987427
31,408,3840,1824,19,40,0.9837239583333334,1.3226253986358643,0.676700234413147
32,513,4032,2112,22,42,0.986328125,1.3179028034210205,0.6728223562240601
33,722,4608,2688,28,48,0.9721137152777778,1.317563533782959,0.6725437641143799
34,581,4032,2304,24,42,0.9913194444444444,1.3100168704986572,0.6663469672203064
35,2670,6144,6432,67,64,0.9884982638888888,1.3024754524230957,0.6601545214653015
36,2304,6624,5664,59,69,0.9906684027777778,1.3013370037078857,0.6592196822166443
37,2866,6240,6816,71,65,0.9916449652777778,1.2897157669067383,0.6496770977973938
38,1713,5760,4704,49,60,0.9851345486111112,1.2892992496490479,0.6493350863456726
39,1036,4992,3456,36,52,0.9762369791666666,1.288802146911621,0.6489269137382507
40,586,4512,2304,24,47,0.9686414930555556,1.2887895107269287,0.6489165425300598
41,1266,4512,3936,41,47,0.9742838541666666,1.2855982780456543,0.6462961435317993
42,474,3456,2016,21,36,0.9698350694444444,1.2685515880584717,0.6322985887527466
43,858,3744,3072,32,39,0.9644097222222222,1.2630023956298828,0.6277419328689575
44,906,4800,3168,33,50,0.98046875,1.2524070739746094,0.6190418004989624
45,2193,6624,5472,57,69,0.9857855902777778,1.2523300647735596,0.6189785599708557
46,1076,4512,3552,37,47,0.9841579861111112,1.2513961791992188,0.6182117462158203
47,2404,6336,5856,61,66,0.9963107638888888,1.2494871616363525,0.6166441440582275
48,109,3936,768,8,41,0.9796006944444444,1.248598337173462,0.6159143447875977
49,86,3744,672,7,39,0.9832899305555556,1.248547077178955,0.6158722639083862
50,551,4416,2208,23,46,0.9700520833333334,1.2452940940856934,0.6132011413574219
51,908,4992,3168,33,52,0.9906684027777778,1.2420756816864014,0.6105583906173706
