rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,1266,7488,3360,35,78,0.3177083333333333,1.4832243919372559,1.0
2,805,7296,2688,28,76,0.2715928819444444,1.431441068649292,0.9471782445907593
3,2196,7968,4608,48,83,0.15028211805555555,1.1806540489196777,0.6913620829582214
4,2051,7968,4416,46,83,0.3325737847222222,1.10435152053833,0.6135293841362
5,1129,7488,3168,33,78,0.4390190972222222,1.1016838550567627,0.610808253288269
6,868,7296,2784,29,76,0.1589626736111111,1.055300235748291,0.5634944438934326
7,1340,7872,3456,36,82,0.3057725694444444,0.9971020221710205,0.50412917137146
8,2123,7968,4512,47,83,0.2935112847222222,0.9517301321029663,0.4578474164009094
9,1410,7872,3552,37,82,0.3452690972222222,0.9147118330001831,0.4200867712497711
10,932,7392,2880,30,77,0.2985026041666667,0.9050168991088867,0.4101974070072174
11,1480,7872,3648,38,82,0.3170572916666667,0.8340271711349487,0.337784081697464
12,1197,7488,3264,34,78,0.3604600694444444,0.793515682220459,0.29646021127700806
13,96,6240,1344,14,65,0.3855251736111111,0.7521485090255737,0.2542634606361389
14,1834,7872,4128,43,82,0.4334852430555556,0.7387895584106445,0.24063663184642792
15,1691,7872,3936,41,82,0.4192708333333333,0.7212784290313721,0.22277434170246124
16,808,7584,2688,28,79,0.3703342013888889,0.7110869884490967,0.21237853169441223
17,1406,7488,3552,37,78,0.3442925347222222,0.7018489837646484,0.20295526087284088
18,392,6528,2016,21,68,0.515625,0.697588324546814,0.1986091583967209
19,1907,7968,4224,44,83,0.3779296875,0.6592710018157959,0.15952344238758087
20,1620,7872,3840,40,82,0.357421875,0.6580098867416382,0.1582370400428772
21,1979,7968,4320,45,83,0.3640407986111111,0.6484745740890503,0.14851051568984985
22,1409,7776,3552,37,81,0.3767361111111111,0.614595890045166,0.11395244300365448
23,745,7584,2592,27,79,0.16341145833333334,0.586493730545044,0.08528673648834229
24,741,7200,2592,27,75,0.26953125,0.5854146480560303,0.08418601006269455
25,1835,7968,4128,43,83,0.3589409722222222,0.5777606964111328,0.07637856900691986
26,391,6432,2016,21,67,0.1655815972222222,0.5581471920013428,0.05637174844741821
27,3877,2400,7392,77,25,0.2060546875,0.5565277338027954,0.05471981316804886
28,1132,7776,3168,33,81,0.4959852430555556,0.5526965856552124,0.05081183835864067
29,2409,7584,4896,51,79,0.4615885416666667,0.5425546169281006,0.040466487407684326
30,1408,7680,3552,37,80,0.3811848958333333,0.531493067741394,0.02918311394751072
31,1688,7584,3936,41,79,0.3984375,0.517173171043396,0.014576053246855736
32,1689,7680,3936,41,80,0.4957682291666667,0.5134224891662598,0.010750156827270985
33,1336,7488,3456,36,78,0.3020833333333333,0.5028836727142334,0.0
