rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,429,2592,1920,20,27,0.3656684027777778,0.7772930860519409,1.0
2,569,2880,2304,24,30,0.8236762152777778,0.6387642621994019,0.45419174432754517
3,1097,2112,3648,38,22,0.9641927083333334,0.5465875864028931,0.09101250767707825
4,2147,1632,5472,57,17,0.7575954861111112,0.5352333784103394,0.04627654328942299
5,2842,1632,6816,71,17,0.17057291666666666,0.5278042554855347,0.017005547881126404
6,2421,3648,5952,62,38,0.18033854166666666,0.5234881639480591,0.0
