rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,2505,3360,6144,64,35,0.2598741319444444,22.130447387695312,1.0
2,1974,2592,5184,54,27,0.4563802083333333,21.46807861328125,0.9693800210952759
3,1628,3072,4608,48,32,0.5115017361111112,20.914165496826172,0.9437736868858337
4,1191,2112,3840,40,22,0.4058159722222222,20.900033950805664,0.9431204199790955
5,1569,2592,4512,47,27,0.5264756944444444,20.880203247070312,0.9422036409378052
6,2461,3648,6048,63,38,0.1982421875,20.804065704345703,0.9386839866638184
7,2504,3264,6144,64,34,0.23665364583333334,20.69425392150879,0.9336075782775879
8,1246,2592,3936,41,27,0.5048828125,20.621543884277344,0.9302463531494141
9,1103,2688,3648,38,28,0.3905164930555556,20.598180770874023,0.929166316986084
10,2149,1824,5472,57,19,0.4067925347222222,20.48603630065918,0.9239820837974548
11,1301,2784,4032,42,29,0.3953993055555556,20.40519142150879,0.9202448129653931
12,2097,2592,5376,56,27,0.1831597222222222,20.2368221282959,0.9124614000320435
13,1190,2016,3840,40,21,0.484375,20.165149688720703,0.9091481566429138
14,2466,4224,6048,63,44,0.197265625,20.107444763183594,0.9064805507659912
15,1319,4512,4032,42,47,0.6942274305555556,20.097074508666992,0.9060011506080627
16,1346,2016,4128,43,21,0.5456814236111112,20.074481964111328,0.9049567580223083
17,1967,1920,5184,54,20,0.4542100694444444,20.04120445251465,0.9034184217453003
18,1624,2496,4608,48,26,0.7003038194444444,20.028696060180664,0.9028401374816895
19,1517,2976,4416,46,31,0.4286024305555556,19.992919921875,0.9011862874031067
20,1910,2112,5088,53,22,0.3942057291666667,19.964218139648438,0.8998594880104065
21,1845,1632,4992,52,17,0.4547526041666667,19.963254928588867,0.8998149633407593
22,1294,2112,4032,42,22,0.3746744791666667,19.91288948059082,0.8974866271018982
23,1844,1536,4992,52,16,0.4973958333333333,19.88494873046875,0.8961949944496155
24,1731,1920,4800,50,20,0.3575303819444444,19.80651092529297,0.8925690054893494
25,1969,2112,5184,54,22,0.4927300347222222,19.66440200805664,0.8859995603561401
26,2098,2688,5376,56,28,0.21104600694444445,19.645570755004883,0.8851290345191956
27,1737,2496,4800,50,26,0.6090494791666666,19.643465042114258,0.8850317001342773
28,1674,2016,4704,49,21,0.4659288194444444,19.611419677734375,0.8835502862930298
29,1847,1824,4992,52,19,0.3583984375,19.603302001953125,0.8831750154495239
30,2154,2784,5472,57,29,0.1802300347222222,19.5693359375,0.8816048502922058
31,1908,1920,5088,53,20,0.3965928819444444,19.550413131713867,0.8807300925254822
32,1673,1920,4704,49,20,0.6495225694444444,19.549453735351562,0.8806857466697693
33,2428,4416,5952,62,46,0.3474392361111111,19.518705368041992,0.8792642951011658
34,2841,1536,6816,71,16,0.4213324652777778,19.51297950744629,0.8789995908737183
35,2548,3552,6240,65,37,0.2805989583333333,19.486434936523438,0.8777725100517273
36,2690,3168,6528,68,33,0.2331814236111111,19.475507736206055,0.8772673606872559
