rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,1325,4416,5472,57,46,0.2592230902777778,1.7124884128570557,1.0
2,1272,4128,5280,55,43,0.2231987847222222,1.6064834594726562,0.9126591086387634
3,1111,6816,4800,50,71,0.283203125,1.5839388370513916,0.8940839171409607
4,1162,3744,4992,52,39,0.216796875,1.5581873655319214,0.8728664517402649
5,1271,4032,5280,55,42,0.2095269097222222,1.5356882810592651,0.8543286919593811
6,1401,5184,5760,60,54,0.2720269097222222,1.4123241901397705,0.7526850700378418
7,1123,3552,4896,51,37,0.24967447916666666,1.351278305053711,0.7023874521255493
8,1381,5280,5664,59,55,0.2546657986111111,1.2652840614318848,0.6315340399742126
9,916,3264,4416,46,34,0.2628038194444444,1.2328193187713623,0.6047853231430054
10,1211,4992,5088,53,52,0.1870659722222222,1.229399561882019,0.6019676327705383
11,786,1824,4128,43,19,0.17979600694444445,1.2175372838974,0.5921939611434937
12,587,3072,3552,37,32,0.2173394097222222,1.142596960067749,0.5304481983184814
13,14,2400,1344,14,25,0.15755208333333334,1.1369050741195679,0.5257585048675537
14,61,3168,1824,19,33,0.17057291666666666,1.1322699785232544,0.5219394564628601
15,252,2112,2688,28,22,0.16048177083333334,1.0991082191467285,0.49461644887924194
16,913,2976,4416,46,31,0.3506944444444444,1.0725511312484741,0.472735196352005
17,432,2688,3168,33,28,0.16710069444444445,1.0696452856063843,0.4703409969806671
18,187,2016,2496,26,21,0.18229166666666666,1.0646082162857056,0.46619078516960144
19,1033,6912,4608,48,72,0.3123914930555556,1.0588730573654175,0.46146541833877563
20,620,3264,3648,38,34,0.16373697916666666,1.058821201324463,0.4614226818084717
21,256,3168,2688,28,33,0.15787760416666666,1.053174614906311,0.45677027106285095
22,835,2976,4224,44,31,0.24576822916666666,1.0475835800170898,0.4521636366844177
23,581,2304,3552,37,24,0.18880208333333334,1.0453572273254395,0.4503292739391327
24,287,2880,2784,29,30,0.1928168402777778,1.017551064491272,0.42741888761520386
25,1036,2688,4704,49,28,0.3248697916666667,0.9935773015022278,0.4076661765575409
26,727,4416,3936,41,46,0.2221137152777778,0.9882692694664001,0.403292715549469
27,1433,5184,5952,62,54,0.18684895833333334,0.9762118458747864,0.3933582305908203
28,576,960,3552,37,10,0.17371961805555555,0.9698566794395447,0.38812199234962463
29,839,3360,4224,44,35,0.1711154513888889,0.9647160172462463,0.3838864266872406
30,185,1824,2496,26,19,0.2740885416666667,0.9573705792427063,0.377834290266037
31,843,3840,4224,44,40,0.2119140625,0.953922688961029,0.3749934732913971
32,1159,3456,4992,52,36,0.3029513888888889,0.9478545784950256,0.36999374628067017
33,1084,3552,4800,50,37,0.1548394097222222,0.9439212679862976,0.3667529821395874
34,1378,4992,5664,59,52,0.24696180555555555,0.9404670596122742,0.36390694975852966
35,1124,3648,4896,51,38,0.21788194444444445,0.9313504099845886,0.3563954532146454
36,1161,3648,4992,52,38,0.2736545138888889,0.9228408932685852,0.3493841886520386
37,1045,3552,4704,49,37,0.2056206597222222,0.917472779750824,0.3449612259864807
38,163,3264,2400,25,34,0.19075520833333334,0.9061311483383179,0.33561649918556213
39,1177,5280,4992,52,55,0.2230902777777778,0.9039003849029541,0.3337785005569458
40,87,3552,2016,21,37,0.1609157986111111,0.8899513483047485,0.3222854435443878
41,1085,3648,4800,50,38,0.1957465277777778,0.8892704844474792,0.32172444462776184
42,1356,4992,5568,58,52,0.23936631944444445,0.8860939741134644,0.3191072344779968
43,1419,5280,5856,61,55,0.24772135416666666,0.8752132058143616,0.3101422190666199
44,81,1728,2016,21,18,0.16536458333333334,0.8736823201179504,0.30888086557388306
45,539,5664,3360,35,59,0.1596137152777778,0.8676071763038635,0.3038753569126129
46,253,2880,2688,28,30,0.2730034722222222,0.8664067387580872,0.3028862774372101
47,194,3360,2496,26,35,0.2201605902777778,0.8620721697807312,0.2993148863315582
48,250,1920,2688,28,20,0.18153211805555555,0.8617182374000549,0.29902327060699463
49,997,3072,4608,48,32,0.3148871527777778,0.8531630039215088,0.29197433590888977
50,996,2976,4608,48,31,0.3412543402777778,0.8514820337295532,0.2905893325805664
51,890,5184,4320,45,54,0.19444444444444445,0.8509995937347412,0.2901918292045593
52,1413,4608,5856,61,48,0.20963541666666666,0.8500382900238037,0.28939980268478394
53,1403,5376,5760,60,56,0.3011067708333333,0.8492721319198608,0.2887685298919678
54,195,3456,2496,26,36,0.2123480902777778,0.8479712605476379,0.2876966893672943
55,1115,2784,4896,51,29,0.2565104166666667,0.8423992395401001,0.283105731010437
56,329,3648,2880,30,38,0.2887369791666667,0.8398458361625671,0.28100189566612244
57,888,4896,4320,45,51,0.22037760416666666,0.8374301791191101,0.2790115773677826
58,1341,6048,5472,57,63,0.234375,0.8348707556724548,0.2769027650356293
59,497,960,3360,35,10,0.2820095486111111,0.8316535949707031,0.2742520570755005
60,1456,4704,6240,65,49,0.3853081597222222,0.8303107619285583,0.2731456458568573
61,836,3072,4224,44,32,0.3400607638888889,0.8302577137947083,0.27310195565223694
62,1104,6144,4800,50,64,0.21885850694444445,0.8218380808830261,0.26616474986076355
63,28,2016,1536,16,21,0.1596137152777778,0.8197742104530334,0.26446425914764404
64,613,1152,3648,38,12,0.18739149305555555,0.8176725506782532,0.2627326250076294
65,553,3360,3456,36,35,0.20128038194444445,0.8139040470123291,0.25962764024734497
66,1354,4800,5568,58,50,0.19498697916666666,0.8138245940208435,0.2595621645450592
67,121,3264,2208,23,34,0.2058376736111111,0.8064578175544739,0.25349244475364685
68,290,3168,2784,29,33,0.15711805555555555,0.8018792271614075,0.2497199922800064
69,1239,4032,5184,54,42,0.19227430555555555,0.800534188747406,0.24861177802085876
70,1243,4512,5184,54,47,0.2375217013888889,0.7958250641822815,0.24473178386688232
71,1377,4896,5664,59,51,0.2637803819444444,0.7947849035263062,0.24387475848197937
72,380,672,3072,32,7,0.23448350694444445,0.7936113476753235,0.2429078221321106
73,774,5376,4032,42,56,0.3276909722222222,0.792636513710022,0.242104634642601
74,164,3360,2400,25,35,0.2501085069444444,0.790074348449707,0.23999358713626862
75,1399,4992,5760,60,52,0.2373046875,0.7887133955955505,0.2388722449541092
76,176,960,2496,26,10,0.19639756944444445,0.7848873734474182,0.23571985960006714
77,1003,3648,4608,48,38,0.3299696180555556,0.7837635278701782,0.23479390144348145
78,1120,3264,4896,51,34,0.3666449652777778,0.7812904715538025,0.23275625705718994
79,754,3072,4032,42,32,0.16471354166666666,0.7805609107017517,0.23215515911579132
80,1418,5184,5856,61,54,0.2261284722222222,0.774103045463562,0.22683431208133698
81,1127,3936,4896,51,41,0.3742404513888889,0.774032473564148,0.22677616775035858
82,762,3936,4032,42,41,0.24055989583333334,0.7669216990470886,0.22091737389564514
83,452,4992,3168,33,52,0.2400173611111111,0.7662829160690308,0.22039106488227844
84,1000,3360,4608,48,35,0.16417100694444445,0.7659295201301575,0.22009988129138947
85,619,3072,3648,38,32,0.1948784722222222,0.7621813416481018,0.21701164543628693
86,324,2688,2880,30,28,0.15049913194444445,0.7606245875358582,0.2157289832830429
87,926,4608,4416,46,48,0.2105034722222222,0.7591802477836609,0.21453894674777985
88,292,3648,2784,29,38,0.3091362847222222,0.7557607293128967,0.2117214947938919
89,1126,3840,4896,51,40,0.21668836805555555,0.7509068250656128,0.20772220194339752
90,1140,5664,4896,51,59,0.15787760416666666,0.7509031295776367,0.20771916210651398
91,995,2880,4608,48,30,0.44140625,0.7491195797920227,0.2062496393918991
92,221,3072,2592,27,32,0.2777777777777778,0.7487061023712158,0.20590895414352417
93,723,3744,3936,41,39,0.306640625,0.7474307417869568,0.20485815405845642
94,433,2784,3168,33,29,0.15983072916666666,0.7427688241004944,0.20101705193519592
95,153,1056,2400,25,11,0.2336154513888889,0.7413555979728699,0.19985264539718628
96,1071,6816,4704,49,71,0.3179253472222222,0.7411010265350342,0.19964289665222168
97,1100,5376,4800,50,56,0.28515625,0.7405806183815002,0.1992141157388687
98,677,1632,3840,40,17,0.16124131944444445,0.7378278374671936,0.19694600999355316
99,1300,4320,5376,56,45,0.3376736111111111,0.736840009689331,0.1961321085691452
100,416,768,3168,33,8,0.2715928819444444,0.7351238131523132,0.19471807777881622
101,157,1440,2400,25,15,0.3532986111111111,0.7343985438346863,0.19412051141262054
102,82,1824,2016,21,19,0.17903645833333334,0.7337033152580261,0.19354768097400665
103,1432,5088,5952,62,53,0.2648654513888889,0.7323110103607178,0.1924005150794983
104,1304,4704,5376,56,49,0.2733289930555556,0.7294944524765015,0.19007986783981323
