rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,1826,864,3936,41,9,0.7108289930555556,0.9560469388961792,1.0
2,2266,2304,4512,47,24,0.7693142361111112,0.7796955108642578,0.6135188341140747
3,2157,5568,4320,45,58,0.734375,0.7557644844055176,0.5610730051994324
4,2554,2688,4896,51,28,0.8350694444444444,0.7253161668777466,0.4943443238735199
5,1963,0,4128,43,0,0.6335720486111112,0.7246279716491699,0.4928361177444458
6,2443,5568,4704,49,58,0.7668185763888888,0.6739712953567505,0.3818199932575226
7,2446,5856,4704,49,61,0.7854817708333334,0.6636189222335815,0.3591323494911194
8,3596,1824,6528,68,19,0.7068142361111112,0.6548268795013428,0.33986425399780273
9,2125,2496,4320,45,26,0.7604166666666666,0.6526901721954346,0.3351815640926361
10,2248,96,4512,47,1,0.7214626736111112,0.6139801740646362,0.2503470480442047
11,1419,864,3360,35,9,0.7133246527777778,0.602841854095459,0.22593697905540466
12,1013,7825,2688,28,82,0.302734375,0.5923093557357788,0.20285458862781525
13,163,3744,1248,13,39,0.7453342013888888,0.589207649230957,0.19605708122253418
14,585,1248,2112,22,13,0.7445746527777778,0.5771297216415405,0.16958782076835632
15,2865,5952,5280,55,62,0.7412109375,0.5765374898910522,0.1682899296283722
16,3268,288,5952,62,3,0.6560329861111112,0.5589277744293213,0.1296975314617157
17,2788,5088,5184,54,53,0.7489149305555556,0.5489214658737183,0.10776830464601517
18,404,5088,1728,18,53,0.6265190972222222,0.5416241884231567,0.09177602827548981
19,2990,4992,5472,57,52,0.7600911458333334,0.535926103591919,0.07928845286369324
20,2394,864,4704,49,9,0.7850477430555556,0.5346682071685791,0.07653172314167023
21,1284,960,3168,33,10,0.6380208333333334,0.5296765565872192,0.06559231877326965
22,1974,1632,4128,43,17,0.7302517361111112,0.5276384353637695,0.06112569570541382
23,2008,4896,4128,43,51,0.7606336805555556,0.5245939493179321,0.05445358529686928
24,1595,4896,3552,37,51,0.736328125,0.5130537748336792,0.029162831604480743
25,2588,5952,4896,51,62,0.7210286458333334,0.5096803903579712,0.021769925951957703
26,3545,96,6432,67,1,0.6467013888888888,0.5081830024719238,0.018488340079784393
27,63,4128,960,10,43,0.7068142361111112,0.5053913593292236,0.012370343320071697
28,3386,288,6144,64,3,0.7139756944444444,0.5052905082702637,0.012149323709309101
29,1689,864,3744,39,9,0.6723090277777778,0.49974676966667175,0.0
