rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,3785,3744,7008,73,39,0.3293185763888889,2.189159631729126,1.0
2,3799,3072,7104,74,32,0.1667751736111111,1.8936448097229004,0.8252386450767517
3,1347,7008,3168,33,73,0.4007161458333333,1.7799043655395508,0.7579748630523682
4,1279,7008,3072,32,73,0.17513020833333334,1.750983476638794,0.7408716678619385
5,641,6624,2112,22,69,0.458984375,1.7129552364349365,0.7183825373649597
6,3597,1920,6528,68,20,0.4977213541666667,1.705728530883789,0.7141088247299194
7,3716,2400,6816,71,25,0.8853081597222222,1.475583791732788,0.5780059695243835
8,1686,7104,3648,38,74,0.3592664930555556,1.4609012603759766,0.5693230032920837
9,3548,1824,6432,67,19,0.6378038194444444,1.4269001483917236,0.5492154359817505
10,3822,4128,7200,75,43,0.3917100694444444,1.400803565979004,0.5337824821472168
11,2010,5088,4128,43,53,0.9720052083333334,1.3489396572113037,0.5031112432479858
12,3732,4224,6816,71,44,0.4886067708333333,1.1970276832580566,0.4132736027240753
13,3387,1536,6144,64,16,0.1948784722222222,1.1862207651138306,0.4068826138973236
14,3821,4032,7200,75,42,0.4154730902777778,1.1634401082992554,0.3934105932712555
15,3762,4224,6912,72,44,0.7175564236111112,1.0902574062347412,0.3501318693161011
16,202,3552,1344,14,37,0.5065104166666666,1.078974962234497,0.3434596657752991
17,946,6720,2592,27,70,0.6832682291666666,1.0713481903076172,0.3389493525028229
18,514,5376,1920,20,56,0.8029513888888888,1.0680607557296753,0.33700522780418396
19,3183,4896,5760,60,51,0.7633463541666666,1.0611765384674072,0.33293402194976807
20,2989,4896,5472,57,51,0.3853081597222222,1.030441403388977,0.31475791335105896
21,3805,3648,7104,74,38,0.8931206597222222,1.0026048421859741,0.2982959449291229
22,2321,768,4608,48,8,0.8335503472222222,0.9842509031295776,0.28744179010391235
23,3609,3072,6528,68,32,0.5789930555555556,0.9839003086090088,0.28723445534706116
24,3763,4320,6912,72,45,0.6206597222222222,0.9494413137435913,0.2668561339378357
25,2265,2208,4512,47,23,0.7785373263888888,0.9480108022689819,0.2660101354122162
26,79,2592,1056,11,27,0.3335503472222222,0.9470423460006714,0.26543742418289185
27,160,3456,1248,13,36,0.7322048611111112,0.9378985166549683,0.26002994179725647
28,3727,3456,6816,71,36,0.5989583333333334,0.9306925535202026,0.25576847791671753
29,2476,1920,4800,50,20,0.9904513888888888,0.8985780477523804,0.23677663505077362
30,2413,2688,4704,49,28,0.9186197916666666,0.8968977928161621,0.23578296601772308
31,945,6624,2592,27,69,0.70703125,0.8936680555343628,0.23387296497821808
32,3800,3168,7104,74,33,0.23046875,0.8810020685195923,0.2263825684785843
33,1509,3072,3456,36,32,0.9463975694444444,0.8694919347763062,0.2195757031440735
34,71,4896,960,10,51,0.65625,0.8670352697372437,0.21812288463115692
35,1073,6432,2784,29,67,0.5071614583333334,0.8662941455841064,0.21768459677696228
36,1971,1344,4128,43,14,0.8978949652777778,0.8646299839019775,0.2167004495859146
37,1229,2208,3072,32,23,0.6486545138888888,0.8575434684753418,0.2125096321105957
38,3806,3744,7104,74,39,0.7783203125,0.8571723699569702,0.21229016780853271
39,3734,4416,6816,71,46,0.4800347222222222,0.8472374677658081,0.20641487836837769
40,3467,4032,6240,65,42,0.8513454861111112,0.8379442691802979,0.20091906189918518
41,3496,1728,6336,66,18,0.2199435763888889,0.8262826204299927,0.19402261078357697
42,823,960,2496,26,10,0.6493055555555556,0.8188247680664062,0.18961219489574432
43,3817,4800,7104,74,50,0.24229600694444445,0.8119884729385376,0.18556934595108032
44,1189,4704,2976,31,49,0.6423611111111112,0.804865837097168,0.18135716021060944
45,1011,6720,2688,28,70,0.5861545138888888,0.7915005683898926,0.173453226685524
46,756,6336,2304,24,66,0.6209852430555556,0.7858289480209351,0.170099139213562
47,3518,3840,6336,66,40,0.4143880208333333,0.781682014465332,0.16764673590660095
48,3694,3840,6720,70,40,0.22569444444444445,0.777277946472168,0.16504225134849548
49,1145,7008,2880,30,73,0.7587890625,0.7691329717636108,0.16022548079490662
