rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,3117,4704,5664,59,49,0.9073350694444444,2.5712435245513916,1.0
2,211,4416,1344,14,46,0.8015407986111112,2.357806921005249,0.8970339894294739
3,160,3456,1248,13,36,0.7322048611111112,2.144166946411133,0.7939698696136475
4,3815,4608,7104,74,48,0.6548394097222222,2.039417266845703,0.7434365749359131
5,523,6240,1920,20,65,0.7450086805555556,2.001075029373169,0.7249395251274109
6,3657,3936,6624,69,41,0.7197265625,1.9748748540878296,0.7123000621795654
7,201,3456,1344,14,36,0.8259548611111112,1.9482413530349731,0.6994515061378479
8,2141,4032,4320,45,42,0.7392578125,1.9236234426498413,0.6875753402709961
9,1565,2016,3552,37,21,0.7331814236111112,1.8557125329971313,0.6548137664794922
10,641,6624,2112,22,69,0.458984375,1.846262812614441,0.6502550840377808
11,254,4416,1440,15,46,0.8532986111111112,1.833455204963684,0.644076406955719
12,882,6624,2496,26,69,0.6110026041666666,1.801866888999939,0.6288375854492188
13,552,3648,2016,21,38,0.7900390625,1.7985479831695557,0.6272364854812622
14,256,4608,1440,15,48,0.7337239583333334,1.798447608947754,0.6271880865097046
15,214,4704,1344,14,49,0.7292751736111112,1.734452247619629,0.5963154435157776
16,3567,3648,6432,67,38,0.7024739583333334,1.7343673706054688,0.5962744951248169
17,3701,4512,6720,70,47,0.8644748263888888,1.7209187746047974,0.5897866487503052
18,3413,4032,6144,64,42,0.7800564236111112,1.7178431749343872,0.5883029103279114
19,3269,384,5952,62,4,0.2550998263888889,1.706423282623291,0.5827937126159668
20,3609,3072,6528,68,32,0.5789930555555556,1.703763723373413,0.5815107226371765
21,125,3648,1152,12,38,0.7520616319444444,1.7022241353988647,0.5807679891586304
22,1632,1920,3648,38,20,0.9661458333333334,1.7014999389648438,0.580418586730957
23,1229,2208,3072,32,23,0.6486545138888888,1.6535574197769165,0.5572901964187622
24,3560,2976,6432,67,31,0.6318359375,1.6522783041000366,0.5566731095314026
25,3708,5184,6720,70,54,0.6812065972222222,1.64730703830719,0.5542749166488647
26,3467,4032,6240,65,42,0.8513454861111112,1.6452716588974,0.553292989730835
27,3422,4896,6144,64,51,0.8672960069444444,1.6415492296218872,0.551497220993042
28,3509,2976,6336,66,31,0.6477864583333334,1.6338986158370972,0.5478063821792603
