rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,2085,4320,4512,47,45,0.6329210069444444,4.199458122253418,1.0
2,167,6240,1536,16,65,0.2594401041666667,4.128774166107178,0.9808981418609619
3,815,2208,2784,29,23,0.4920789930555556,3.73836350440979,0.8753923773765564
4,559,6912,2304,24,72,0.5498046875,3.7238264083862305,0.8714638352394104
5,2012,4224,4416,46,44,0.5997178819444444,3.6008644104003906,0.8382341861724854
6,1939,4128,4320,45,43,0.6080729166666666,3.465135097503662,0.801554262638092
7,2086,4416,4512,47,46,0.5611979166666666,3.3835864067077637,0.7795162796974182
8,2158,4320,4608,48,45,0.5835503472222222,3.3566389083862305,0.7722339034080505
9,993,7104,2976,31,74,0.5577256944444444,3.2603542804718018,0.7462136745452881
10,209,6528,1632,17,68,0.5620659722222222,3.2506613731384277,0.743594229221344
11,1332,7104,3456,36,74,0.5170355902777778,3.2422616481781006,0.741324245929718
12,2234,4608,4704,49,48,0.6145833333333334,3.2150981426239014,0.7339835166931152
13,1867,4128,4224,44,43,0.5491536458333334,3.187608480453491,0.7265546321868896
14,1866,4032,4224,44,42,0.5728081597222222,3.1281797885894775,0.7104943990707397
15,252,6624,1728,18,69,0.5100911458333334,3.100857973098755,0.7031108736991882
16,2160,4512,4608,48,47,0.5912543402777778,2.9702510833740234,0.6678152680397034
17,1124,6912,3168,33,72,0.6038411458333334,2.960592031478882,0.6652050018310547
18,991,6912,2976,31,72,0.564453125,2.9343323707580566,0.6581084728240967
19,1126,7104,3168,33,74,0.5500217013888888,2.864215612411499,0.6391599178314209
20,1261,7008,3360,35,73,0.5730251736111112,2.8245811462402344,0.6284489631652832
21,448,6816,2112,22,71,0.5532769097222222,2.8239009380340576,0.6282651424407959
22,1683,7104,3936,41,74,0.5078125,2.7888667583465576,0.6187974214553833
23,1415,1632,3648,38,17,0.57421875,2.785320997238159,0.6178392171859741
24,1571,3072,3840,40,32,0.5431857638888888,2.773373603820801,0.614610493183136
25,1612,7104,3840,40,74,0.4992404513888889,2.7528555393218994,0.6090656518936157
26,1716,3360,4032,42,35,0.6860894097222222,2.696521520614624,0.5938417315483093
27,1193,7104,3264,34,74,0.5584852430555556,2.6562888622283936,0.5829691290855408
28,1057,6912,3072,32,72,0.5946180555555556,2.654203414916992,0.5824055671691895
29,3854,3936,7296,76,41,0.5857204861111112,2.6537926197052,0.5822945833206177
30,1912,1536,4320,45,16,0.5569661458333334,2.592711925506592,0.5657879114151001
31,501,6720,2208,23,70,0.4564887152777778,2.5626981258392334,0.5576769113540649
32,1263,7200,3360,35,75,0.5946180555555556,2.525959014892578,0.5477483868598938
33,2339,7776,4800,50,81,0.5368923611111112,2.5250096321105957,0.5474918484687805
34,2275,1632,4800,50,17,0.6457248263888888,2.512939691543579,0.544230043888092
35,992,7008,2976,31,73,0.5452473958333334,2.4943017959594727,0.5391932725906372
36,1769,1536,4128,43,16,0.5288628472222222,2.4936952590942383,0.5390293598175049
37,1483,1344,3744,39,14,0.3594835069444444,2.4866113662719727,0.5371149778366089
38,1262,7104,3360,35,74,0.5613064236111112,2.479957103729248,0.5353167057037354
39,169,6432,1536,16,67,0.5577256944444444,2.4708635807037354,0.5328592658042908
40,929,7104,2880,30,74,0.5287543402777778,2.457174777984619,0.5291599631309509
41,110,4224,1440,15,44,0.6137152777777778,2.4250590801239014,0.5204808712005615
42,1940,4224,4320,45,44,0.5933159722222222,2.4006052017211914,0.5138723850250244
43,514,2592,2304,24,27,0.3913845486111111,2.392742872238159,0.5117476582527161
44,3537,4704,6624,69,49,0.5413411458333334,2.369382381439209,0.5054346323013306
45,2765,1344,5472,57,14,0.625,2.3633873462677,0.5038145184516907
46,925,6720,2880,30,70,0.4397786458333333,2.3623907566070557,0.5035452246665955
47,1921,2400,4320,45,25,0.6218532986111112,2.3438475131988525,0.49853402376174927
48,2775,2304,5472,57,24,0.6682942708333334,2.326633930206299,0.4938821792602539
49,207,6336,1632,17,66,0.5144314236111112,2.269253730773926,0.4783755838871002
50,616,6816,2400,25,71,0.4816623263888889,2.2623648643493652,0.47651392221450806
51,402,2400,2112,22,25,0.4606119791666667,2.2393956184387207,0.4703066349029541
52,947,2688,2976,31,28,0.5134548611111112,2.231597423553467,0.468199223279953
53,2060,1920,4512,47,20,0.6385633680555556,2.2249865531921387,0.4664126932621002
54,130,6240,1440,15,65,0.6878255208333334,2.209829568862915,0.4623166024684906
55,2159,4416,4608,48,46,0.5774739583333334,2.1492645740509033,0.44594934582710266
56,1911,1440,4320,45,15,0.5691189236111112,2.137157678604126,0.4426775276660919
57,296,6624,1824,19,69,0.5335286458333334,2.1347546577453613,0.44202813506126404
58,2637,2304,5280,55,24,0.6373697916666666,2.1282389163970947,0.44026729464530945
59,928,7008,2880,30,73,0.5406901041666666,2.1049931049346924,0.43398529291152954
60,1352,2304,3552,37,24,0.5689019097222222,2.102313756942749,0.4332612156867981
61,1331,7008,3456,36,73,0.5169270833333334,2.087080478668213,0.4291445016860962
62,446,6624,2112,22,69,0.5274522569444444,2.086138963699341,0.42889007925987244
63,696,2880,2592,27,30,0.4340277777777778,2.0825071334838867,0.42790859937667847
64,494,6048,2208,23,63,0.3466796875,2.0725412368774414,0.42521539330482483
65,1074,2112,3168,33,22,0.5652126736111112,2.070695161819458,0.4247165024280548
66,2323,6240,4800,50,65,0.5412326388888888,2.063732862472534,0.42283499240875244
67,2766,1440,5472,57,15,0.6134982638888888,2.046109676361084,0.4180724322795868
68,1647,3552,3936,41,37,0.5163845486111112,2.0370070934295654,0.41561251878738403
